Timestamp,Questão 1 - Você trabalha como:,Questão 2 - Qual a sua idade?,Questão 3 - Quanto tempo você tem de experiência profissional?,Questão 4 - Você trabalha com?,Questão 5 - Qual o tamanho da empresa onde trabalha (ou da qual é dono)?,Questão 6 - Há quanto tempo você passou a trabalhar de forma 100% remota devido à pandemia?,"Questão 7 - Após migrar para remoto, você está agora trabalhando:",Questão 8 - Você considera que sua produtividade nesse período:,"Questão 9 - SE  considera que  sua produtividade AUMENTOU, marque os motivos (você pode marcar mais de um item):","Questão 10 - SE considera que a sua produtividade DIMINUIU, marque os motivos (você pode marcar mais de um item):",Questão 11 - Quais ferramentas de comunicação você PASSOU a usar para trabalho remoto (pode-se responder mais de uma ferramenta; mas apenas aquelas que não usava com frequência antes):,Questão 12 - Qual é o processo de desenvolvimento usado por sua empresa?,"Questão 13 - Quais as principais mudanças que ocorreram nesse processo de desenvolvimento para facilitar o trabalho remoto? (exemplo: eventos que, possivelmente, foram remodelados, como daily meetings)",Questão 13 CURADA,Q13 - Categorias,Questão 14 - Alguma prática de programação adotada na sua empresa foi afetada? (exemplo: pair programming),Questão 15 - A sua empresa recomenda que você sempre fique online durante o horário de trabalho?,Questão 16 - A sua empresa passou a adotar alguma nova política ou ferramenta para acompanhar a sua produtividade?,"Questão 16a - Se respondeu SIM à pergunta anterior, por favor explique sua resposta.",Questão 17 - A empresa forneceu o equipamento necessário para você trabalhar de casa?,"Questão 18 - Após a pandemia, se pudesse escolher, você gostaria de continuar trabalhando remotamente?","Se quiser, deixe aqui qualquer comentário ou sugestão:"
4/7/2020 08:58:02,Cientista de Dados ou similar,entre 30 e 45 anos,mais de 10 anos,Autônomo,Entre 10 e 50 funcionários,Cerca de 4 semanas (ou mais),Mais horas por dia,Diminuiu,,Maior dificuldade de comunicação com as pessoas.,Discord,"Ágil (exemplo: Scrum, Kanban ou outro método ágil)",Nenhum,Nenhuma,,Não,Não,Não,,Sim,"Parcialmente, eu gostaria de trabalhar a MAIOR parte do tempo remotamente",
4/7/2020 09:03:44,Desenvolvedor ou equivalente,menos de 30 anos,entre 5 e 10 anos,"Carteira assinada, em tempo integral",Mais de 100 funcionários,Cerca de 3 semanas,O mesmo número de horas diárias que antes da pandemia.,Aumentou,"Menos interrupções ao longo do dia, Menos stress e tempo perdido no deslocamento para o trabalho, Maior conforto em casa do que no trabalho.",,Microsoft Teams,"Ágil (exemplo: Scrum, Kanban ou outro método ágil)","Nenhuma, pois parte do time já era remoto e várias reuniões ocorriam via Microsoft Teams",Nenhuma,,Não,Sim,Não,,Perguntou se eu tinha e se podia usar o próprio,"Parcialmente, eu gostaria de trabalhar a MENOR parte do tempo remotamente",
4/7/2020 09:04:03,Desenvolvedor ou equivalente,entre 30 e 45 anos,mais de 10 anos,"Carteira assinada, em tempo integral",Mais de 100 funcionários,Cerca de 3 semanas,Mais horas por dia,Diminuiu,,"Maior dificuldade de comunicação com as pessoas., Muitas interrupções de outros membros da família (crianças, cônjuge, etc)., Lentidão ou falhas de conexão no acesso aos sistemas, servidores e outros recursos de rede via Internet., Os horários de trabalho da equipe não coincidem, dificultando a colaboração., Aumentou significativamente o tempo em reuniões com integrantes da equipe. As interações pessoais eram mais rápidas e pontuais.","Google Hangouts, WhatsApp, Zoom, Microsoft Teams","Ágil (exemplo: Scrum, Kanban ou outro método ágil)",As daily meetings passaram a ser pelo zoom.,Nenhuma,,Não,Sim,Não,,Sim,"Parcialmente, eu gostaria de trabalhar a MENOR parte do tempo remotamente",Importante frisar que esse cenário atual de atuação remota pela pandemia teve maior prejuízo das atividades diárias devido à presença de crianças em casa demandando atenção e cuidados boa parte do tempo.
4/7/2020 09:04:16,Desenvolvedor ou equivalente,entre 30 e 45 anos,entre 5 e 10 anos,"Carteira assinada, em tempo integral",Mais de 100 funcionários,Cerca de 3 semanas,Mais horas por dia,Aumentou,"Menos interrupções ao longo do dia, Menos stress e tempo perdido no deslocamento para o trabalho",,Já usava todos os recursos necessários para o trabalho antes da pandemia,"Ágil (exemplo: Scrum, Kanban ou outro método ágil)","As plannings são feitas pelo Skype, o marketing e diretores da empresa passaram a usar vídeos para se comunicar com os funcionários. Demais mudanças não foram necessárias porque o home office já era uma prática adotada em até dois dias na semana.",Nenhuma,,Somente as ajudas entre programadores (principalmente dos analistas para os estagiários) foi um pouco afetada porque a comunicação remota é um pouco mais difícil que a presencial. Instabilidades na conexão de internet ou na VPN são exemplos de complicadores.,Sim,Não,,Sim,"Parcialmente, eu gostaria de trabalhar a MAIOR parte do tempo remotamente",
4/7/2020 09:07:07,Desenvolvedor ou equivalente,menos de 30 anos,menos de 2 anos,"Carteira assinada, em tempo integral",Mais de 100 funcionários,Cerca de 3 semanas,O mesmo número de horas diárias que antes da pandemia.,Continuou a mesma,,,"O Discord já era usado, porém agora é mais usado, para chamadas de vídeo e screen shares, o que não acontecia antes","Ágil (exemplo: Scrum, Kanban ou outro método ágil)","Daily meetings por chamadas de vídeo e a frequência de one-on-ones aumentou, com o intuito de aproximar o time","Daily meetings por chamadas de vídeo e a frequência de one-on-ones aumentou, com o intuito de aproximar o time",Reunião,Não,Sim,Não,,Sim,"Parcialmente, eu gostaria de trabalhar a MENOR parte do tempo remotamente",
4/7/2020 09:09:59,Desenvolvedor ou equivalente,menos de 30 anos,entre 2 e 5 anos,"Carteira assinada, em tempo integral",Mais de 100 funcionários,Cerca de 3 semanas,Menos horas por dia,Diminuiu,,"Não consigo manter o foco e me distraio com outras atividades., Tenho melhores recursos de hardware/software no trabalho do que em casa., Lentidão ou falhas de conexão no acesso aos sistemas, servidores e outros recursos de rede via Internet.",Nenhuma,"Ágil (exemplo: Scrum, Kanban ou outro método ágil)",Nenhuma,Nenhuma,,Não,Sim,Não,,Sim,"Não, eu gostaria de voltar a trabalhar de forma presencial",
4/7/2020 09:12:44,Desenvolvedor ou equivalente,menos de 30 anos,menos de 2 anos,"Carteira assinada, em tempo integral",Entre 51 e 100 funcionários,Cerca de 4 semanas (ou mais),Mais horas por dia,Diminuiu,,"Não consigo manter o foco e me distraio com outras atividades., Lentidão ou falhas de conexão no acesso aos sistemas, servidores e outros recursos de rede via Internet., Minha saúde mental foi prejudicada com o isolamento.",Discord,"Ágil (exemplo: Scrum, Kanban ou outro método ágil)",Todos os processos de reunião da empresa foram convertidos em conferências remotas.,Nenhuma,,Não,Sim,Não,,Sim,"Parcialmente, eu gostaria de trabalhar a MAIOR parte do tempo remotamente",Muito obrigado pelo trabalho! Estou curioso pelos resultados :)
4/7/2020 09:12:59,Desenvolvedor ou equivalente,entre 30 e 45 anos,entre 2 e 5 anos,"Carteira assinada, em tempo integral",Entre 10 e 50 funcionários,Cerca de 3 semanas,Mais horas por dia,Continuou a mesma,"Menos interrupções ao longo do dia, Maior conforto em casa do que no trabalho.",,"Google Hangouts, Slack, Zoom, Work Facebook","Ágil (exemplo: Scrum, Kanban ou outro método ágil)","Daily, scrum poker",Nenhuma,,Não,Sim,Não,,Sim,"Sim, gostaria de continuar de forma totalmente remota",
4/7/2020 09:25:39,Desenvolvedor ou equivalente,entre 30 e 45 anos,mais de 10 anos,Servidor Público,Mais de 100 funcionários,Cerca de 3 semanas,O mesmo número de horas diárias que antes da pandemia.,Aumentou,"Menos stress e tempo perdido no deslocamento para o trabalho, Maior conforto em casa do que no trabalho., Sem o telefone do setor tocando o dia inteiro na minha cabeça",,E-mail,Waterfall (cascata) ou equivalente,Não houve mudanças,Nenhuma,,Não,Não,Não,,Não,"Parcialmente, eu gostaria de trabalhar a MAIOR parte do tempo remotamente",
4/7/2020 09:25:44,Desenvolvedor ou equivalente,entre 30 e 45 anos,mais de 10 anos,Servidor Público,Mais de 100 funcionários,Cerca de 3 semanas,O mesmo número de horas diárias que antes da pandemia.,Aumentou,"Menos stress e tempo perdido no deslocamento para o trabalho, Maior conforto em casa do que no trabalho., Sem o telefone do setor tocando o dia inteiro na minha cabeça",,E-mail,Waterfall (cascata) ou equivalente,Não houve mudanças,Nenhuma,,Não,Não,Não,,Não,"Parcialmente, eu gostaria de trabalhar a MAIOR parte do tempo remotamente",
4/7/2020 09:25:53,Desenvolvedor ou equivalente,entre 30 e 45 anos,mais de 10 anos,Servidor Público,Mais de 100 funcionários,Cerca de 3 semanas,O mesmo número de horas diárias que antes da pandemia.,Aumentou,"Menos stress e tempo perdido no deslocamento para o trabalho, Maior conforto em casa do que no trabalho., Sem o telefone do setor tocando o dia inteiro na minha cabeça",,E-mail,Waterfall (cascata) ou equivalente,Não houve mudanças,Nenhuma,,Não,Não,Não,,Não,"Parcialmente, eu gostaria de trabalhar a MAIOR parte do tempo remotamente",
4/7/2020 09:26:50,Desenvolvedor ou equivalente,menos de 30 anos,entre 2 e 5 anos,"Carteira assinada, em tempo integral",Mais de 100 funcionários,Cerca de 3 semanas,Mais horas por dia,Aumentou,"Menos interrupções ao longo do dia, Menos stress e tempo perdido no deslocamento para o trabalho, Me sinto mais motivado, Maior conforto em casa do que no trabalho.",,Nenhuma,"Ágil (exemplo: Scrum, Kanban ou outro método ágil)",Continuou a mesma coisa,Nenhuma,,Não,Não,Não,,Sim,"Sim, gostaria de continuar de forma totalmente remota",
4/7/2020 09:27:52,Desenvolvedor ou equivalente,menos de 30 anos,menos de 2 anos,Estagiário,Entre 51 e 100 funcionários,Cerca de 3 semanas,O mesmo número de horas diárias que antes da pandemia.,Aumentou,"Menos interrupções ao longo do dia, Menos stress e tempo perdido no deslocamento para o trabalho, Tenho melhores recursos de hardware/software em casa do que no trabalho.",,Microsoft Teams,"Ágil (exemplo: Scrum, Kanban ou outro método ágil)","Adoção de daily meetings via call, aceleração do devops para fornecer recursos de deploy automatizado, utilização de VPN.","Adoção de daily meetings via call, aceleração do devops para fornecer recursos de deploy automatizado, utilização de VPN.",Reunião,Não,Sim,Não,,"Forneceu, mas eu escolhi usar meu hardware pessoal por ser melhor.","Parcialmente, eu gostaria de trabalhar a MENOR parte do tempo remotamente",
4/7/2020 09:28:47,Desenvolvedor ou equivalente,menos de 30 anos,entre 2 e 5 anos,"Carteira assinada, em tempo integral",Mais de 100 funcionários,Cerca de 4 semanas (ou mais),O mesmo número de horas diárias que antes da pandemia.,Diminuiu,,"Maior dificuldade de comunicação com as pessoas., Não consigo manter o foco e me distraio com outras atividades.",Sempre usávamos o Teams e hoje estamos usando com maior intensidade.,"Ágil (exemplo: Scrum, Kanban ou outro método ágil)","Mantivemos a rotina normal, dailys nos mesmos horários porém não presenciais",Nenhuma,,Não,Não,Não,,Sim,"Parcialmente, eu gostaria de trabalhar a MAIOR parte do tempo remotamente",
4/7/2020 09:29:16,Desenvolvedor ou equivalente,entre 30 e 45 anos,mais de 10 anos,Servidor público federal,Mais de 100 funcionários,Cerca de 3 semanas,O mesmo número de horas diárias que antes da pandemia.,Aumentou,"Menos interrupções ao longo do dia, Menos stress e tempo perdido no deslocamento para o trabalho, Me sinto mais motivado, Maior conforto em casa do que no trabalho.",,Discord,"Ágil (exemplo: Scrum, Kanban ou outro método ágil)",Passamos a documentar melhor o daily meeting. E ele acabou se estendendo por mais minutos.,Passamos a documentar melhor o daily meeting. E ele acabou se estendendo por mais minutos.,Documentação,Não,Sim,Sim,Lançamento mais efetivo das horas trabalhadas no redmine.,O equipamento permaneceu no local de trabalho acessado via VPN e VNC.,"Sim, gostaria de continuar de forma totalmente remota",
4/7/2020 09:32:35,Desenvolvedor ou equivalente,entre 30 e 45 anos,mais de 10 anos,"Carteira assinada, em tempo integral",Entre 51 e 100 funcionários,Cerca de 3 semanas,O mesmo número de horas diárias que antes da pandemia.,Continuou a mesma,,,"Google Hangouts, Slack, Zoom","Ágil (exemplo: Scrum, Kanban ou outro método ágil)","Nenhum! Todas nossas cerimônias já eram virtuais, pois nos temos times distribuídos em mais de um local. Além disso já tínhamos dois dias de home office.",Nenhuma,,Não,Sim,Não,,Sim,"Sim, gostaria de continuar de forma totalmente remota",
4/7/2020 09:33:15,Desenvolvedor ou equivalente,entre 30 e 45 anos,mais de 10 anos,Servidor Público Federal,Entre 51 e 100 funcionários,Cerca de 3 semanas,Mais horas por dia,Diminuiu,,"Não consigo manter o foco e me distraio com outras atividades., Tenho melhores recursos de hardware/software no trabalho do que em casa.","WhatsApp, Discord","Ágil (exemplo: Scrum, Kanban ou outro método ágil)",Criação de documentos com as atividades realizadas pela equipe diariamente.,Criação de documentos com as atividades realizadas pela equipe diariamente.,Documentação,Não,Sim,Não,,Permitiu levar o equipamento para casa mas não foi necessário.,"Parcialmente, eu gostaria de trabalhar a MENOR parte do tempo remotamente",
4/7/2020 09:35:22,Desenvolvedor ou equivalente,entre 30 e 45 anos,mais de 10 anos,"Carteira assinada, em tempo integral",Mais de 100 funcionários,Cerca de 3 semanas,O mesmo número de horas diárias que antes da pandemia.,Diminuiu,,"Não consigo manter o foco e me distraio com outras atividades., Muitas interrupções de outros membros da família (crianças, cônjuge, etc)., Lentidão ou falhas de conexão no acesso aos sistemas, servidores e outros recursos de rede via Internet., Não tenho acesso a todos os recursos remotamente (por políticas de segurança, por ex.)","Skype, Microsoft Teams","Ágil (exemplo: Scrum, Kanban ou outro método ágil)",não houve,Nenhuma,,Não,Sim,Não,,Não,"Parcialmente, eu gostaria de trabalhar a MAIOR parte do tempo remotamente",
4/7/2020 09:35:55,Cientista de Dados ou similar,menos de 30 anos,menos de 2 anos,Servidor Público Federal,Mais de 100 funcionários,Cerca de 2 semanas,O mesmo número de horas diárias que antes da pandemia.,Diminuiu,,"Não consigo manter o foco e me distraio com outras atividades., Muitas interrupções de outros membros da família (crianças, cônjuge, etc)., Tenho melhores recursos de hardware/software no trabalho do que em casa., Lentidão ou falhas de conexão no acesso aos sistemas, servidores e outros recursos de rede via Internet., Maior estresse e pressão devido a uma cobrança maior por estarmos trabalhando em home office.",Discord,"Ágil (exemplo: Scrum, Kanban ou outro método ágil)","Nenhuma, daily meetings foram mantidas via Discord.",Nenhuma,,Não,Sim,Sim,Cobrança por conclusão de tarefas ao invés de horário de trabalho.,Não,"Não, eu gostaria de voltar a trabalhar de forma presencial",Achei o trabalho remoto mais estressante e cansativo.
4/7/2020 09:36:33,Desenvolvedor ou equivalente,menos de 30 anos,entre 2 e 5 anos,"Carteira assinada, em tempo integral",Mais de 100 funcionários,Cerca de 3 semanas,O mesmo número de horas diárias que antes da pandemia.,Aumentou,"Menos stress e tempo perdido no deslocamento para o trabalho, Maior conforto em casa do que no trabalho.",,Microsoft Teams,"Ágil (exemplo: Scrum, Kanban ou outro método ágil)","Como ja tinhamos 2 dias de home office, acredito que não houve grandes mudanças;",Nenhuma,,Não,Não,Não,,Sim,"Sim, gostaria de continuar de forma totalmente remota",
4/7/2020 09:38:45,Product owner ou equivalente,entre 30 e 45 anos,mais de 10 anos,"Carteira assinada, em tempo integral",Mais de 100 funcionários,Cerca de 4 semanas (ou mais),Mais horas por dia,Aumentou,"Menos interrupções ao longo do dia, Maior conforto em casa do que no trabalho.",,Zoom,"Ágil (exemplo: Scrum, Kanban ou outro método ágil)",Viagens canceladas,Nenhuma,,Testes em Par,Sim,Não,,Sim,"Não, eu gostaria de voltar a trabalhar de forma presencial",
4/7/2020 09:42:10,Desenvolvedor ou equivalente,menos de 30 anos,entre 5 e 10 anos,"Carteira assinada, em tempo integral",Mais de 100 funcionários,Cerca de 3 semanas,O mesmo número de horas diárias que antes da pandemia.,Continuou a mesma,,,"Skype, Google Hangouts, WhatsApp, Zoom, Microsoft Teams, Discord","Ágil (exemplo: Scrum, Kanban ou outro método ágil)","Não houve mudanças, as reuniões já eram usando ferramentas onlines de comunicação devido a equipe ser distribuídas em outras unidades",Nenhuma,,Não,Sim,Não,,Sim,"Parcialmente, eu gostaria de trabalhar a MAIOR parte do tempo remotamente",
4/7/2020 09:42:57,Desenvolvedor ou equivalente,entre 46 e 60 anos,mais de 10 anos,"Carteira assinada, em tempo integral",Mais de 100 funcionários,Cerca de 3 semanas,O mesmo número de horas diárias que antes da pandemia.,Continuou a mesma,,,"Google Hangouts, Slack, WhatsApp, Zoom","Ágil (exemplo: Scrum, Kanban ou outro método ágil)","daily meetings, terminou que ficaram mais eficientes","daily meetings, terminou que ficaram mais eficientes",Reunião,Não,Sim,Não,,Sim,"Parcialmente, eu gostaria de trabalhar a MAIOR parte do tempo remotamente",
4/7/2020 09:47:55,Desenvolvedor ou equivalente,menos de 30 anos,entre 5 e 10 anos,Governo,Menos de 10 funcionários,Cerca de 3 semanas,O mesmo número de horas diárias que antes da pandemia.,Continuou a mesma,"Menos interrupções ao longo do dia, Menos stress e tempo perdido no deslocamento para o trabalho, Tenho melhores recursos de hardware/software em casa do que no trabalho.","Maior dificuldade de comunicação com as pessoas., Lentidão ou falhas de conexão no acesso aos sistemas, servidores e outros recursos de rede via Internet.","Google Hangouts, Telegram","Ágil (exemplo: Scrum, Kanban ou outro método ágil)",2 daily por dia,2 daily por dia,Reunião,Não,Não,Não,,Não,"Parcialmente, eu gostaria de trabalhar a MAIOR parte do tempo remotamente",
4/7/2020 09:48:38,Desenvolvedor ou equivalente,menos de 30 anos,menos de 2 anos,"Carteira assinada, em tempo integral",Mais de 100 funcionários,Cerca de 3 semanas,O mesmo número de horas diárias que antes da pandemia.,Diminuiu,,"Maior dificuldade de comunicação com as pessoas., Não consigo manter o foco e me distraio com outras atividades.","Google Hangouts, Zoom","Ágil (exemplo: Scrum, Kanban ou outro método ágil)","Daily por audio, comunicação diária por discord.",Nenhuma,,Não,Sim,Não,,Sim,"Parcialmente, eu gostaria de trabalhar a MAIOR parte do tempo remotamente",
4/7/2020 09:50:52,Product owner ou equivalente,entre 30 e 45 anos,entre 5 e 10 anos,Autônomo,Entre 10 e 50 funcionários,Cerca de 3 semanas,Mais horas por dia,Aumentou,"Menos interrupções ao longo do dia, Menos stress e tempo perdido no deslocamento para o trabalho, Maior conforto em casa do que no trabalho., Tenho melhores recursos de hardware/software em casa do que no trabalho.",,Discord,"Ágil (exemplo: Scrum, Kanban ou outro método ágil)",O processo ficou mais by the book,O processo ficou mais by the book,Metodologia,pair programming,Não,Não,,Não,"Sim, gostaria de continuar de forma totalmente remota",
4/7/2020 10:13:57,Testador,entre 30 e 45 anos,entre 5 e 10 anos,"Carteira assinada, em tempo integral",Mais de 100 funcionários,Cerca de 3 semanas,O mesmo número de horas diárias que antes da pandemia.,Continuou a mesma,,,"Google Hangouts, Slack, Zoom, Microsoft Teams","Ágil (exemplo: Scrum, Kanban ou outro método ágil)","Fizeram uma ""sala virtual"" para um ""café"" de forma que as pessoas no momento do café, pudessem entrar lá e poder conversar, como se fosse um café presencial. Os outros ritos já fazíamos remoto pois nosso time está em bases/cidades diferentes.","Fizeram uma ""sala virtual"" para um ""café"" de forma que as pessoas no momento do café, pudessem entrar lá e poder conversar, como se fosse um café presencial. Os outros ritos já fazíamos remoto pois nosso time está em bases/cidades diferentes.",Socialização,Não,Sim,Não,,Sim,"Parcialmente, eu gostaria de trabalhar a MENOR parte do tempo remotamente",
4/7/2020 10:18:52,Desenvolvedor ou equivalente,menos de 30 anos,entre 5 e 10 anos,"Carteira assinada, em tempo integral",Mais de 100 funcionários,Cerca de 4 semanas (ou mais),O mesmo número de horas diárias que antes da pandemia.,Diminuiu,,"Muitas interrupções de outros membros da família (crianças, cônjuge, etc)., Tenho melhores recursos de hardware/software no trabalho do que em casa.",Amazon Chime,"Ágil (exemplo: Scrum, Kanban ou outro método ágil)",-,Nenhuma,,Não,Sim,Não,,"Monitor, Teclado, mouse, headset e outros dispositivos, mas sinto falta da cadeira, mesa, ar condicionado, espaço, etc...","Parcialmente, eu gostaria de trabalhar a MENOR parte do tempo remotamente",
